"","category","sellable_online","other_colors","depth","height","width","price","newprice"
"465","Wardrobes","TRUE","No",35,83,51,440,0
"466","Bookcases & shelving units","TRUE","No",50,226,174,760,0
"467","Bookcases & shelving units","TRUE","No",36,175,202,695,0
"468","Cabinets & cupboards","TRUE","Yes",37,197,90,1595,1
"469","Outdoor furniture","TRUE","No",46,111,52,103,0
"470","Tables & desks","TRUE","No",46,83,80,925,0
"471","Outdoor furniture","TRUE","No",46,71,44,155,0
"472","Wardrobes","TRUE","No",44,236,150,2125,1
"473","Chairs","TRUE","No",46,83,80,19,0
"474","Tables & desks","TRUE","No",46,83,74,915,0
"475","Outdoor furniture","TRUE","No",46,83,80,27,0
"476","Bookcases & shelving units","TRUE","No",50,171,307,705,0
"477","Chairs","TRUE","No",45,53,88,327,0
"478","Chairs","TRUE","No",51,49,39,225,0
"479","Children's furniture","TRUE","No",53,83,53,195,0
"480","Chairs","TRUE","No",50,65,53,175,0
"481","Sofas & armchairs","TRUE","Yes",46,44,62,395,0
"482","Chairs","TRUE","No",46,75,74,589,0
"483","Tables & desks","TRUE","No",46,72,75,299,0
"484","Beds","TRUE","No",53,21,86,1095,1
"485","Sofas & armchairs","TRUE","No",84,89,137,745,0
"486","Beds","TRUE","No",46,83,77,195,0
"487","Outdoor furniture","TRUE","No",46,73,71,356,0
"488","Bookcases & shelving units","TRUE","No",46,83,80,35,0
"489","Chairs","TRUE","No",36,84,38,595,0
"490","Sofas & armchairs","TRUE","No",98,95,141,2396,1
"491","Wardrobes","TRUE","No",38,236,150,1550,1
"492","TV & media furniture","TRUE","No",46,38,60,100,0
"493","Bookcases & shelving units","TRUE","No",46,26,60,95,0
"494","Chairs","TRUE","No",46,104,74,1385,1
"495","Chests of drawers & drawer units","TRUE","No",47,45,40,240,0
"496","Nursery furniture","TRUE","Yes",50,50,90,395,0
"497","Tables & desks","TRUE","Yes",46,83,80,399,0
"498","Bookcases & shelving units","TRUE","No",36,175,51,225,0
"499","Sofas & armchairs","TRUE","Yes",164,83,111,350,0
"500","Tables & desks","TRUE","No",46,75,70,595,0
