"","category","sellable_online","other_colors","depth","height","width","price","newprice"
"108","Chairs","TRUE","No",58,83,58,220,0
"109","Cabinets & cupboards","TRUE","Yes",47,212,81,1540,1
"110","Bookcases & shelving units","TRUE","Yes",35,72,105,515,0
"111","Sofas & armchairs","TRUE","Yes",78,69,212,1176,1
"112","Cabinets & cupboards","TRUE","No",43,173,120,597,0
"113","Sofas & armchairs","TRUE","Yes",100,87,142,1245,1
"114","Bookcases & shelving units","TRUE","No",46,26,60,60,0
"115","Wardrobes","TRUE","No",59,216,122,1645,1
"116","Sofas & armchairs","TRUE","Yes",88,85,153,1660,1
"117","Bookcases & shelving units","TRUE","Yes",28,237,40,305,0
"118","Tables & desks","TRUE","No",46,73,75,255,0
"119","Chairs","TRUE","No",46,39,80,100,0
"120","Tables & desks","TRUE","No",46,83,80,2765,1
"121","Bookcases & shelving units","TRUE","No",41,85,189,458,0
"122","Café furniture","TRUE","Yes",46,75,80,450,0
"123","Cabinets & cupboards","TRUE","Yes",35,80,140,620,0
"124","Chests of drawers & drawer units","TRUE","No",46,83,90,395,0
"125","Cabinets & cupboards","TRUE","Yes",42,74,180,1400,1
"126","Chairs","TRUE","No",46,83,39,45,0
"127","Outdoor furniture","TRUE","Yes",46,83,80,2781,1
"128","Bookcases & shelving units","TRUE","Yes",42,230,240,2470,1
"129","Cabinets & cupboards","TRUE","No",46,83,80,19,0
"130","Beds","TRUE","Yes",51,16,140,1595,1
"131","Outdoor furniture","TRUE","Yes",46,90,70,103,0
"132","Cabinets & cupboards","TRUE","Yes",40,48,120,510,0
"133","Cabinets & cupboards","TRUE","Yes",28,83,20,27,0
"134","Bookcases & shelving units","TRUE","Yes",35,83,16,29,0
"135","Tables & desks","TRUE","No",46,83,80,1695,1
"136","Sofas & armchairs","TRUE","Yes",46,83,80,520,0
"137","TV & media furniture","TRUE","Yes",42,202,120,1390,1
"138","Children's furniture","TRUE","Yes",35,83,44,22,0
"139","Wardrobes","TRUE","No",51,149,74,49,0
"140","Wardrobes","TRUE","No",55,216,84,678,0
"141","Wardrobes","TRUE","No",55,216,205,1629,1
"142","Sofas & armchairs","TRUE","Yes",46,84,266,4448,1
"143","Trolleys","TRUE","No",50,74,37,99,0
"144","TV & media furniture","TRUE","Yes",42,74,240,1700,1
"145","Wardrobes","TRUE","No",66,236,200,3775,1
"146","Beds","TRUE","Yes",46,83,154,675,0
